Item ID,Sentiment,SentimentText,Recommended complaint category,cleaned_text,final_text,word_count
33,0,@RailMinIndia - pathetic and dirty toilet of B1 and A1 of 22940 bilaspur Hapa express.Please help.,Cleanliness & Facilities,railminindia pathetic and dirty toilet of b and a of bilaspur hapa expressplease help,railminindia pathetic dirty toilet b bilaspur hapa expressplease help,9
34,6,@RailMinIndia @khushalvakharia Poor service by railways.,Irrelevant & Noise,railminindia khushalvakharia poor service by railways,railminindia khushalvakharia poor service railways,5
35,0,@RailMinIndia no water in train no. 18104 after running of 5 hrs.,Cleanliness & Facilities,railminindia no water in train no after running of hrs,railminindia water train running hrs,5
36,4,@sureshpprabhu sir if it is further delayed it clash will with academic session @RailMinIndia https://t.co/rOK3sJldqa,Delay / Running Status,sureshpprabhu sir if it is further delayed it clash will with academic session railminindia,sureshpprabhu sir delayed clash academic session railminindia,7
37,4,@RailMinIndia @sureshpprabhu  frm Jbp to Patna pnr 83478 48608.will this reach on time?It is ruing like pasr not SF :(.tol disappointing,Delay / Running Status,railminindia sureshpprabhu frm jbp to patna pnr will this reach on timeit is ruing like pasr not sf tol disappointing,railminindia sureshpprabhu frm jbp patna pnr reach timeit ruing like pasr sf tol disappointing,14
38,5,@RailMinIndia  I tried to cancel my I ticket before chart preparation. But due to login problem i was unable to do so Pnr no. is-2119194363,Ticketing & Reservation,railminindia i tried to cancel my i ticket before chart preparation but due to login problem i was unable to do so pnr no is,railminindia tried cancel ticket chart preparation due login problem unable pnr,11
39,6,"I applaud Indian Railway 4commendable service.We had issue with charging pt, attendants quickly came,plucked entire… https://t.co/IenAa6lzLj",Irrelevant & Noise,i applaud indian railway commendable servicewe had issue with charging pt attendants quickly cameplucked entire,applaud indian railway commendable servicewe issue charging pt attendants quickly cameplucked entire,12
40,7,@RailMinIndia @RupSgsits @ed_eeg @drmsbc Matter notified to officials concerned @electrlbzascr,Customer Support Response,railminindia rupsgsits edeeg drmsbc matter notified to officials concerned electrlbzascr,railminindia rupsgsits edeeg drmsbc matter notified officials concerned electrlbzascr,9
41,4,@sureshpprabhu @RailMinIndia   train no. 12497 stuck at bhodwal st. And no one to help . No one is telling the reasone for delay . PL. HELP,Delay / Running Status,sureshpprabhu railminindia train no stuck at bhodwal st and no one to help no one is telling the reasone for delay pl help,sureshpprabhu railminindia train stuck bhodwal st one help one telling reasone delay pl help,14
42,4,@RailMinIndia Railway was never been so irresponsible. so called fake development is happening. railway was never been so irresponsible. ????,Delay / Running Status,railminindia railway was never been so irresponsible so called fake development is happening railway was never been so irresponsible,railminindia railway never irresponsible called fake development happening railway never irresponsible,11
43,1,"@sureshpprabhu @RailMinIndia @IRCTC_Ltd plz hlp,He is missing since 15 days&amp; today sum1 has seen him at ADI station https://t.co/FHSjhfKb4L",Safety & Security,sureshpprabhu railminindia irctcltd plz hlphe is missing since daysamp today sum has seen him at adi station,sureshpprabhu railminindia irctcltd plz hlphe missing since daysamp today sum seen adi station,13
44,0,@sureshpprabhu @RailMinIndia PNR 2119050261 train no. 12472 coach A1 ac is not working since the start of journey from Jammu Tavi,Cleanliness & Facilities,sureshpprabhu railminindia pnr train no coach a ac is not working since the start of journey from jammu tavi,sureshpprabhu railminindia pnr train coach ac working since start journey jammu tavi,12
45,0,"@sureshpprabhu sir at Old Delhi Railway station bag scanning machine not working,no checkpoint for luggage check.@RailMinIndia.",Cleanliness & Facilities,sureshpprabhu sir at old delhi railway station bag scanning machine not workingno checkpoint for luggage checkrailminindia,sureshpprabhu sir old delhi railway station bag scanning machine workingno checkpoint luggage checkrailminindia,13
46,1,"@RailMinIndia @Parashuram_vns Sir, FIR lodged by GRP/Satna vide Cr.No. 039/16 U/S 380 IPC has been transferred to GRP/Allahabad.",Safety & Security,railminindia parashuramvns sir fir lodged by grpsatna vide crno us ipc has been transferred to grpallahabad,railminindia parashuramvns sir fir lodged grpsatna vide crno us ipc transferred grpallahabad,12
47,4,"@RailMinIndia it means make extra late a train running late by 3.00 hrs. In summer season, not in winter when too much fog was in atmosphere",Delay / Running Status,railminindia it means make extra late a train running late by hrs in summer season not in winter when too much fog was in atmosphere,railminindia means make extra late train running late hrs summer season winter much fog atmosphere,15
48,3,@RailMinIndia RPF at some serious eating business. Pantry is for them not for passengers. Shri Shakti exp today https://t.co/L7xnUt8d78,Food & Catering,railminindia rpf at some serious eating business pantry is for them not for passengers shri shakti exp today,railminindia rpf serious eating business pantry passengers shri shakti exp today,11
49,5,@RailMinIndia @sureshpprabhu : TT should regularly visit First Class for pass/ticket checking...,Ticketing & Reservation,railminindia sureshpprabhu tt should regularly visit first class for passticket checking,railminindia sureshpprabhu tt regularly visit first class passticket checking,9
50,4,@RailMinIndia @srdcmbsb @gmner_gkp Pls tell me T. no 55150 will originate today from BCY or not?,Delay / Running Status,railminindia srdcmbsb gmnergkp pls tell me t no will originate today from bcy or not,railminindia srdcmbsb gmnergkp pls tell originate today bcy,8
51,4,@RailMinIndia below stated train waste almost one and half hour on platform please try to fix up less time!!! Help https://t.co/eFBcgrduwr,Delay / Running Status,railminindia below stated train waste almost one and half hour on platform please try to fix up less time help,railminindia stated train waste almost one half hour platform please try fix less time help,15
52,3,@sureshpprabhu @RailMinIndia IRCTC canteen in mysore selling water 5rs more than MRP. Just bought for 20/- https://t.co/yPfqZfPA17,Food & Catering,sureshpprabhu railminindia irctc canteen in mysore selling water rs more than mrp just bought for,sureshpprabhu railminindia irctc canteen mysore selling water rs mrp bought,10
53,0,"@sureshpprabhu ?? iam also Indian citizen and Tandur station also in India.... No action, no reply, no water @RailMinIndia @SCRailwayIndia",Cleanliness & Facilities,sureshpprabhu iam also indian citizen and tandur station also in india no action no reply no water railminindia scrailwayindia,sureshpprabhu iam also indian citizen tandur station also india action reply water railminindia scrailwayindia,14
54,4,@RailMinIndia 18237 engine failed at silyari they still making the announcement that train is coming they should announce the expected time,Delay / Running Status,railminindia engine failed at silyari they still making the announcement that train is coming they should announce the expected time,railminindia engine failed silyari still making announcement train coming announce expected time,12
55,5,@rpfcrsur @RailMinIndia how many months or should i say years should i wait for the Conscience of #CORRUPT #ROTTEN… https://t.co/2h0v7KWzgy,Ticketing & Reservation,rpfcrsur railminindia how many months or should i say years should i wait for the conscience of corrupt rotten,rpfcrsur railminindia many months say years wait conscience corrupt rotten,10
56,4,"@RailMinIndia @sanjaygupta2012 Train handled over late by more than 6 hours from previous division, @drmjabalpur @drmncrald  kindly update.",Delay / Running Status,railminindia sanjaygupta train handled over late by more than hours from previous division drmjabalpur drmncrald kindly update,railminindia sanjaygupta train handled late hours previous division drmjabalpur drmncrald kindly update,12
57,5,@RailMinIndia @sureshpprabhuSir at new delhi station only one counter is working for platform ticket... huge line nd people waiting..,Ticketing & Reservation,railminindia sureshpprabhusir at new delhi station only one counter is working for platform ticket huge line nd people waiting,railminindia sureshpprabhusir new delhi station one counter working platform ticket huge line nd people waiting,15
58,4,@RailMinIndia @PiyushGoyal @RailwayNorthern My parents are travelling in 15231 pnr no. 6408164808 the coach S5 is n… https://t.co/Ig9TPufytc,Delay / Running Status,railminindia piyushgoyal railwaynorthern my parents are travelling in pnr no the coach s is n,railminindia piyushgoyal railwaynorthern parents travelling pnr coach n,8
59,5,@RailMinIndia @sureshpprabhu I want to know y the waiting list ticket can't be cancelled at the same time of departure of the train?,Ticketing & Reservation,railminindia sureshpprabhu i want to know y the waiting list ticket cant be cancelled at the same time of departure of the train,railminindia sureshpprabhu want know waiting list ticket cant cancelled time departure train,12
60,4,@RailMinIndia @drmumb 14208 held up between bareilly and shahjanpur. Delayd by 2.5 hrs. No other train on route is delyd. Y 14208 victimizd?,Delay / Running Status,railminindia drmumb held up between bareilly and shahjanpur delayd by hrs no other train on route is delyd y victimizd,railminindia drmumb held bareilly shahjanpur delayd hrs train route delyd victimizd,11
61,2,@sureshpprabhu @RailMinIndia I Request for doctor for pain killer injection at rewari stn in 19718 no one arrived its urgent matter,Medical Emergency,sureshpprabhu railminindia i request for doctor for pain killer injection at rewari stn in no one arrived its urgent matter,sureshpprabhu railminindia request doctor pain killer injection rewari stn one arrived urgent matter,13
62,5,"@RailMinIndia  Train no: 12017. Pnr: 2646724070. Reserved 2 tckts, 1 wtng. If only chair seats, then why allow waiting in shatabdi trains.",Ticketing & Reservation,railminindia train no pnr reserved tckts wtng if only chair seats then why allow waiting in shatabdi trains,railminindia train pnr reserved tckts wtng chair seats allow waiting shatabdi trains,12
63,0,"@RailMinIndia @sureshpprabhu pnr no: 8747892216,train no : 22981, Coach:S7, All Fan is not working in coach S7, mercury is too high,plz help",Cleanliness & Facilities,railminindia sureshpprabhu pnr no train no coachs all fan is not working in coach s mercury is too highplz help,railminindia sureshpprabhu pnr train coachs fan working coach mercury highplz help,11
64,5,@RailMinIndia tried tatkal booking for Delhi Goa Rajdhani at Jalandar city railway station but was not supported by the staff,Ticketing & Reservation,railminindia tried tatkal booking for delhi goa rajdhani at jalandar city railway station but was not supported by the staff,railminindia tried tatkal booking delhi goa rajdhani jalandar city railway station supported staff,13
65,5,"@sureshpprabhu @RailMinIndia i m hvng ac with irctc &amp; today i ws loged in at 8am,i hv seen da within 8.01 am all ac tickets r sold.",Ticketing & Reservation,sureshpprabhu railminindia i m hvng ac with irctc amp today i ws loged in at ami hv seen da within am all ac tickets r sold,sureshpprabhu railminindia hvng ac irctc amp today ws loged ami hv seen da within ac tickets r sold,18
66,4,"@RailMinIndia @sureshpprabhu incorrect TDR claim prcsd..rqst hve a look TDR no. 100000105731626, train 3+ hr late https://t.co/BBStWoiDpe",Delay / Running Status,railminindia sureshpprabhu incorrect tdr claim prcsdrqst hve a look tdr no train hr late,railminindia sureshpprabhu incorrect tdr claim prcsdrqst hve look tdr train hr late,12
67,4,"@RailMinIndia sir,train is 4 hrs late .train no is 15623.I have also to attend the train guwahaty naharlagun intercity express for itanagar.",Delay / Running Status,railminindia sirtrain is hrs late train no is i have also to attend the train guwahaty naharlagun intercity express for itanagar,railminindia sirtrain hrs late train also attend train guwahaty naharlagun intercity express itanagar,13
68,5,@sureshpprabhu @RailMinIndia Train no. 12344 Coach B3. TT accepted bribe &amp; allotted seats to W/L passengers instead of RAC seats.@gm_nfr,Ticketing & Reservation,sureshpprabhu railminindia train no coach b tt accepted bribe amp allotted seats to wl passengers instead of rac seatsgmnfr,sureshpprabhu railminindia train coach b tt accepted bribe amp allotted seats wl passengers instead rac seatsgmnfr,16
69,7,@RailMinIndia @RahmanAnsariBOI @drmlko25 Kindly look into this,Customer Support Response,railminindia rahmanansariboi drmlko kindly look into this,railminindia rahmanansariboi drmlko kindly look,5
70,5,@sureshpprabhu @RailMinIndia @narendramodi screen img @06.46 am 09.06.2016 FYR. No TatkaL quota without opng. GREAT! https://t.co/8YpfwlbzRt,Ticketing & Reservation,sureshpprabhu railminindia narendramodi screen img am fyr no tatkal quota without opng great,sureshpprabhu railminindia narendramodi screen img fyr tatkal quota without opng great,11
71,6,@RailMinIndia @rajtoday @Akkibhatkar @Shrikant2025 @ThaneMt @thane_now @MumbraKiAwaam @PiyushGoyal @mumbairailusers… https://t.co/jLmGKbbWyO,Irrelevant & Noise,railminindia rajtoday akkibhatkar shrikant thanemt thanenow mumbrakiawaam piyushgoyal mumbairailusers,railminindia rajtoday akkibhatkar shrikant thanemt thanenow mumbrakiawaam piyushgoyal mumbairailusers,9
72,4,RT @KARailway: Provide 1min stoppage for Karnataka Sampark Kranthi at #Haveri @DrmMys @GMSWR @RailMinIndia @PiyushGoyalOffc… ,Delay / Running Status,rt karailway provide min stoppage for karnataka sampark kranthi at haveri drmmys gmswr railminindia piyushgoyaloffc,rt karailway provide min stoppage karnataka sampark kranthi haveri drmmys gmswr railminindia piyushgoyaloffc,13
73,4,"@RailMinIndia ????? ???? 22415 , current location ????????? , B6 coach , AC ???? ?? ???, ??? ??? ??? ????",Delay / Running Status,railminindia current location b coach ac,railminindia current location b coach ac,6
74,5,@RailMinIndia amount debited but reservation failed. Request support  and pay back of entire amount https://t.co/9pH2Vft28L,Ticketing & Reservation,railminindia amount debited but reservation failed request support and pay back of entire amount,railminindia amount debited reservation failed request support pay back entire amount,11
75,6,@sureshpprabhu Pls consider having more nos western toilets in 2/3 Ac coaches as many elderly travel who hv  problems. @RailMinIndia Thnx,Irrelevant & Noise,sureshpprabhu pls consider having more nos western toilets in ac coaches as many elderly travel who hv problems railminindia thnx,sureshpprabhu pls consider nos western toilets ac coaches many elderly travel hv problems railminindia thnx,15
76,5,@sureshpprabhu @RailMinIndia I am a mother travelling with a 6 month kid is given an upper berth instead of providing the details of baby.,Ticketing & Reservation,sureshpprabhu railminindia i am a mother travelling with a month kid is given an upper berth instead of providing the details of baby,sureshpprabhu railminindia mother travelling month kid given upper berth instead providing details baby,13
77,6,@sureshpprabhu @RailMinIndia thanks for give attention on meerut 2 saharanpur railway line ..,Irrelevant & Noise,sureshpprabhu railminindia thanks for give attention on meerut saharanpur railway line,sureshpprabhu railminindia thanks give attention meerut saharanpur railway line,9
78,6,@RailMinIndia @sureshpprabhu many will be benifited thanks a lot sir,Irrelevant & Noise,railminindia sureshpprabhu many will be benifited thanks a lot sir,railminindia sureshpprabhu many benifited thanks lot sir,7
79,0,@RailMinIndia  traveling in 12506 dt 11/06/16  in S3 toilets fully dirty and no water in toiletKindly arrange help urgentlyPNR 264-7351440,Cleanliness & Facilities,railminindia traveling in dt in s toilets fully dirty and no water in toiletkindly arrange help urgentlypnr,railminindia traveling dt toilets fully dirty water toiletkindly arrange help urgentlypnr,11
80,4,@RailMinIndia train time changed not informed family stuck in Mangalore. Pls add time  to sms https://t.co/38vnoZVOHC,Delay / Running Status,railminindia train time changed not informed family stuck in mangalore pls add time to sms,railminindia train time changed informed family stuck mangalore pls add time sms,12
81,5,@RailMinIndia @sureshpprabhu I had heard that irctc will not charge Service charge from 1/6/16 on online ticket but u r still deducting!!!!!,Ticketing & Reservation,railminindia sureshpprabhu i had heard that irctc will not charge service charge from on online ticket but u r still deducting,railminindia sureshpprabhu heard irctc charge service charge online ticket u r still deducting,13
82,5,"@RailMinIndia tatkal service is d biggest garbage. Plz close this service,@11:05 website is not working,showing an error.",Ticketing & Reservation,railminindia tatkal service is d biggest garbage plz close this service website is not workingshowing an error,railminindia tatkal service biggest garbage plz close service website workingshowing error,11
83,5,@RailMinIndia @sureshpprabhu I got my ticketThanku  problem solved by CERS Bilimora PRS. I withdraw my complaint.. https://t.co/TKisGN6uNY,Ticketing & Reservation,railminindia sureshpprabhu i got my ticketthanku problem solved by cers bilimora prs i withdraw my complaint,railminindia sureshpprabhu got ticketthanku problem solved cers bilimora prs withdraw complaint,11
84,5,"tt declining to accept the college id a true id , higher authorities do act pnr 4512791357",Ticketing & Reservation,tt declining to accept the college id a true id higher authorities do act pnr,tt declining accept college id true id higher authorities act pnr,11
85,0,"@RailMinIndia I am traveling by train no 12590 coach no S-8, fans are not working i had told this  at last station but no one attended.",Cleanliness & Facilities,railminindia i am traveling by train no coach no s fans are not working i had told this at last station but no one attended,railminindia traveling train coach fans working told last station one attended,11
86,4,@RailMinIndia concern over the late running of 14205 n 14206. Never reaches in time at either of station. Pl check ur data. A real concern,Delay / Running Status,railminindia concern over the late running of n never reaches in time at either of station pl check ur data a real concern,railminindia concern late running n never reaches time either station pl check ur data real concern,16
87,0,"@RailMinIndia travelling in train no 18623,Pnr 6252708712 1st class b coach, paid around 1700,  AC is not working properly@sureshpprabhu",Cleanliness & Facilities,railminindia travelling in train no pnr st class b coach paid around ac is not working properlysureshpprabhu,railminindia travelling train pnr st class b coach paid around ac working properlysureshpprabhu,13
88,5,@RailMinIndia How it possible in Tatkal that all the 256 Available Garib Rath seats r booked within 1.5 min.? Is there any hidden tricks?,Ticketing & Reservation,railminindia how it possible in tatkal that all the available garib rath seats r booked within min is there any hidden tricks,railminindia possible tatkal available garib rath seats r booked within min hidden tricks,13
89,6,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to… ,Irrelevant & Noise,rt indiabtl why is railminindia procuring congress mouthpiece national herald priced a hefty rs piece amp providing it to,rt indiabtl railminindia procuring congress mouthpiece national herald priced hefty rs piece amp providing,14
90,5,"@sureshpprabhu Sir, need ur kind assistance. A cancer patient hs a tatkal ticket of status CKWL/19,20. Can u plz do something? @RailMinIndia",Ticketing & Reservation,sureshpprabhu sir need ur kind assistance a cancer patient hs a tatkal ticket of status ckwl can u plz do something railminindia,sureshpprabhu sir need ur kind assistance cancer patient hs tatkal ticket status ckwl u plz something railminindia,17
91,3,@RailMinIndia Hello sir mai is time malwa express train number 12919 me hu abhi vendor se khane ke rate pucha usne… https://t.co/fJBoC3R5yR,Food & Catering,railminindia hello sir mai is time malwa express train number me hu abhi vendor se khane ke rate pucha usne,railminindia hello sir mai time malwa express train number hu abhi vendor se khane ke rate pucha usne,18
92,4,@RailMinIndia Pls confirm whn we will reach as we need to attend the function and if it is late schedule arrival at Barelliye,Delay / Running Status,railminindia pls confirm whn we will reach as we need to attend the function and if it is late schedule arrival at barelliye,railminindia pls confirm whn reach need attend function late schedule arrival barelliye,12
93,4,@RailMinIndia Travel wth my mother can't walk properly. Can the PTB stoppage be extended by 2 mins PNR No. :2118501258Train No. 12618.,Delay / Running Status,railminindia travel wth my mother cant walk properly can the ptb stoppage be extended by mins pnr no train no,railminindia travel wth mother cant walk properly ptb stoppage extended mins pnr train,13
94,1,"@RailMinIndia  Sir, We lost a mobile with bearing No 9442455386 while travelling in Pothigai express Train No 12661 today at 5.15 am",Cleanliness & Facilities,railminindia sir we lost a mobile with bearing no while travelling in pothigai express train no today at am,railminindia sir lost mobile bearing travelling pothigai express train today,10
95,6,@RailMinIndia @drmnfr_lmg @IR_ENHM till now no action has been taken,Irrelevant & Noise,railminindia drmnfrlmg irenhm till now no action has been taken,railminindia drmnfrlmg irenhm till action taken,6
96,7,"RT @irctcwestzone: @RailMinIndia @Sivaram15064430 Inconvenience regretted, matter is being taken up for further necessary action",Customer Support Response,rt irctcwestzone railminindia sivaram inconvenience regretted matter is being taken up for further necessary action,rt irctcwestzone railminindia sivaram inconvenience regretted matter taken necessary action,10
97,5,@RailMinIndia I ask city police constable allowed without ticket and without authority in any coach in train,Ticketing & Reservation,railminindia i ask city police constable allowed without ticket and without authority in any coach in train,railminindia ask city police constable allowed without ticket without authority coach train,12
98,6,"@RailMinIndia @SRailwayIndia Janani Sewa launched-Infant food now available at NVRR Platform-2,Palakkad Jn. https://t.co/fAS6JdTbgu",Irrelevant & Noise,railminindia srailwayindia janani sewa launchedinfant food now available at nvrr platformpalakkad jn,railminindia srailwayindia janani sewa launchedinfant food available nvrr platformpalakkad jn,10
99,0,@RailMinIndia  Dear sir...AC of sabarmati express is not working since last 4 hours.. Please do the needful.PNR 2864717564,Cleanliness & Facilities,railminindia dear sirac of sabarmati express is not working since last hours please do the needfulpnr,railminindia dear sirac sabarmati express working since last hours please needfulpnr,11
